tiempo,volumen,hidrologia,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,costo_vertimiento,action,reward,reward_usd
0,45000.0,2.0,6822.144,258888.0,89498.12267082525,10847.177165782276,14205.472175438588,114550.77201204612,0.0,0.0,0.0,0.0,262804.7277197107,148253.95570766457,1187.5078655999998,0.0,0.0,1.0,0.0,0.0
1,39365.3638656,1.96,6822.144,258888.0,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,0.0,0.0,259686.40768585046,141415.0551769354,1591.985878121739,0.0,0.0,1.0,0.0,0.0
2,34135.20574372174,1.98,6822.144,258888.0,90659.82803868594,11002.303434923519,14518.368923684202,116180.50039729365,0.0,0.0,0.0,0.0,284769.89501704235,168589.3946197487,1836.9953280000002,0.0,0.0,1.0,0.0,0.0
3,29150.05707172174,2.03,6822.144,258888.0,90554.62452678141,10732.967364716962,14566.054130701754,115853.64602220013,0.0,0.0,0.0,0.0,322835.61778332083,206981.97176112072,1801.8129024,0.0,0.0,1.0,0.0,0.0
4,24129.725974121742,2.03,6822.144,258888.0,85031.24772094279,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,0.0,0.0,286307.0950337339,175921.85794907738,2019.372768,0.0,0.0,1.0,0.0,0.0
5,19326.95474212174,1.93,6822.144,258888.0,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,0.0,0.0,271219.28310519754,158175.455581965,1996.5149568,0.0,0.0,1.0,0.0,0.0
6,14501.325698921739,2.04,6822.0590976,258884.77810780142,84982.77061434375,10693.418996498953,14763.392324561397,110439.58193540409,0.0,0.0,0.0,0.0,321077.5259995257,210637.94406412158,2114.4884544,0.0,0.0,1.0,0.0,0.0
7,9793.75505572174,2.06,5135.5348992,194884.2415205674,85986.18983175584,10551.754537368377,15309.599851754383,111847.5442208786,17383.16285602188,1630.297011510197,2227405.3890552474,0.0,252554.57466723176,140707.03044635316,1853.8644096,0.0,0.0,1.0,-2.2274053890552477,-2227405.389055248
8,6512.084566121739,1.98,3666.638603269565,139142.28939219858,84086.47588357603,10205.677110637433,15594.137738596495,109886.29073280995,40805.1568085664,17832.653254511944,9430311.657210223,0.0,265760.2853988617,155873.99466605173,1845.5544576,0.0,0.0,1.0,-9.430311657210222,-9430311.657210222
9,4691.000420452175,1.77,3027.3168171130437,114881.1863468085,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,47676.84606052459,10645.962331749108,7961473.3055771915,0.0,249845.7440495834,136565.10713006853,2113.7645088,0.0,0.0,1.0,-7.961473305577191,-7961473.305577191
10,3777.448112139131,1.94,2763.4657861565215,104868.5179390071,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538007,50106.14644929997,9003.91708186713,7711789.769490137,0.0,245944.614595458,131433.04776007793,1997.8286612869563,0.0,0.0,1.0,-7.711789769490136,-7711789.769490136
11,3011.8109872695654,1.94,2475.8864564869564,93955.40360141844,92209.90206906517,9278.029588771047,15795.58666754386,117283.51832538006,52282.41028904473,10611.61126738579,8411724.40912021,0.0,248808.4569794967,131524.93865411665,1925.80416,0.0,0.0,1.0,-8.411724409120211,-8411724.409120211
12,2461.7286907826087,1.88,2248.840552069565,85339.42303829787,92859.1884018825,9169.003791343186,18456.2665437649,120484.4587369906,55325.597927730276,13144.092181935983,9475787.447353821,0.0,256892.3205966874,136407.86185969686,2269.3148352000003,0.0,0.0,1.0,-9.475787447353822,-9475787.447353821
13,2482.2029739130435,1.94,2429.313037356522,92188.0267574468,95290.5873260382,8530.480186850396,33050.70162164341,136871.76913453202,34504.31567252437,0.0,3450431.5672524376,0.0,232816.40974702348,95944.64061249145,2489.139072,0.0,0.0,1.0,-3.450431567252437,-3450431.567252437
14,2542.0290085565216,1.97,2542.0290085565216,96465.39357234043,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,40193.71139917217,1081.908619575424,4343943.725789844,0.0,246622.79107341048,105548.61642766435,3145.5339552,0.0,0.0,1.0,-4.343943725789845,-4343943.725789845
15,3145.5339552,2.02,2830.8758688000003,107426.60839787233,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,39852.634451856844,2211.214268461788,4648627.72572422,0.0,249188.23580714918,112541.06595942932,3811.7532096,0.0,0.0,1.0,-4.648627725724221,-4648627.72572422
16,4126.411296,2.09,3171.0915936,120337.17852978723,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,38867.98109646086,3793.117844550436,5024733.463011217,0.0,251752.38877616858,120487.57890360325,3856.2779807999996,0.0,0.0,1.0,-5.024733463011217,-5024733.463011217
17,4811.5976832,2.12,3487.8005568,132355.7096638298,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,36107.09727676296,4684.963203688513,5016198.688782849,0.0,253509.18879524473,127093.617319985,4010.279151443478,0.0,0.0,1.0,-5.01619868878285,-5016198.688782849
18,5334.076277843477,2.11,3723.412834643478,141296.76857234043,98975.04493142635,6723.902763309068,25968.47947897232,131667.42717370772,29748.637347788983,5267.17109181576,4555015.062323626,0.0,259512.0194486619,127844.59227495416,3814.1639424000005,0.0,0.0,1.0,-4.555015062323626,-4555015.062323626
19,5424.8273856,1.99,3532.4081856,134048.48832765958,98037.6221467726,6354.580659707241,34253.7348904101,138645.93769688995,36696.7038360586,4697.062435584399,5078789.11428118,0.0,269658.83132354775,131012.89362665782,4022.7679558956524,0.0,0.0,1.0,-5.07878911428118,-5078789.114281179
20,5915.187155895652,2.14,3738.1351654956525,141855.45434468085,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,35195.749263069054,7747.139134733264,5843716.666726884,0.0,281722.62204277696,143250.30659151837,4400.9917056,0.0,0.0,1.0,-5.843716666726884,-5843716.666726884
21,6578.043696,2.2,4052.7055296,153792.82951914895,98814.04396127017,5886.590321169121,34915.35802257658,139615.99230501588,28979.21158203361,4489.950750039573,4244906.383215233,0.0,281740.7067488555,142124.7144438396,4378.9509792,0.0,0.0,1.0,-4.244906383215233,-4244906.383215233
22,6904.2891456,2.23,4163.5575072,157999.46115531915,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,23245.326214878285,2957.8796918906132,3211896.5290550124,0.0,276524.56080986426,137585.86688952782,4142.7868608,0.0,0.0,1.0,-3.2118965290550126,-3211896.5290550124
23,6883.5184991999995,2.09,4083.546621913044,154963.1930744681,98854.63909287954,5691.159953817383,35550.51846960261,140096.31751629955,26540.91451923752,4905.425871104624,4125719.213255139,0.0,278081.1372973546,137984.81978105503,4405.698127721739,0.0,0.0,1.0,-4.125719213255139,-4125719.213255139
24,7205.670005008696,2.06,4190.14619812174,159008.4537851064,104690.69883044781,5569.164730104099,36640.267961321035,146900.13152187294,29419.12508490125,5064.941701358583,4461395.0188977,0.0,290325.77507737133,143425.6435554984,4423.861297252174,0.0,0.0,1.0,-4.4613950188977,-4461395.0188977
25,7439.385104139131,1.95,4406.435194852174,167216.22919787234,104382.0148129037,5429.313546577172,36310.39745348857,146121.72581296944,36517.254063932894,11799.991461665444,7191722.844892924,0.0,329525.6672677294,183403.94145475997,4525.12872,0.0,0.0,1.0,-7.191722844892923,-7191722.844892923
26,7558.078629286956,1.89,4557.665066713043,172955.12873829785,106816.05281652318,5738.184090648205,34600.92987232152,147155.16677949292,27725.065065923834,5987.184381241304,4568661.820964775,0.0,313822.97533251636,166667.80855302344,4559.9512896,0.0,0.0,1.0,-4.568661820964775,-4568661.820964775
27,7560.364852173912,1.91,4639.148298156521,176047.26968723405,105570.85574992996,5961.318488980014,35113.18863366362,146645.3628725736,23562.21586211248,3952.434379693723,3541951.9001193643,0.0,309256.58704763796,162611.22417506436,4409.394192,0.0,0.0,1.0,-3.5419519001193644,-3541951.9001193643
28,7330.610746017392,1.99,4604.029034713043,174714.55729148936,108730.43283364398,5763.893484376083,34304.426268943746,148798.75258696382,22381.720409780126,937.4159835227879,2519396.836034849,0.0,302204.84344165475,153406.09085469093,4090.8514752,0.0,0.0,1.0,-2.519396836034849,-2519396.836034849
29,6817.433186504347,1.93,4234.643464069565,160697.0443787234,105710.5229317552,6405.6144499270995,34658.5686623392,146774.7060440215,32942.561637555904,5189.833452461798,4851206.199494129,0.0,310085.89999781986,163311.19395379836,4344.3189216,0.0,0.0,1.0,-4.851206199494129,-4851206.199494129
30,6927.108644034783,2.05,4199.963706156522,159381.0104212766,106832.62021303737,6755.8492638160105,35019.157293632656,148607.62677048604,33932.28100179776,6386.541521488448,5309190.556626311,0.0,309859.84117183584,161252.2144013498,4414.0838112,0.0,0.0,1.0,-5.3091905566263105,-5309190.556626311
31,7141.228749078261,2.08,4209.3324,159736.5353723404,112963.317808136,6912.495966710932,34636.09143758985,154511.90521243677,34514.42956707744,5948.644900741532,5236036.426930203,0.0,313334.6882683898,158822.783055953,3984.4024416,0.0,0.0,1.0,-5.2360364269302035,-5236036.426930203
32,6916.298790678261,2.0,4228.8105888,160475.69733404255,111681.42711469864,6849.887804579319,34441.76708218248,152973.08200146045,35901.46938619804,8058.914964139025,6007821.427861512,0.0,323460.8319077568,170487.74990629635,3683.0033856,0.0,0.0,1.0,-6.007821427861512,-6007821.427861513
33,6370.491587478261,1.92,4083.037117356522,154943.8583,107779.19993502216,7307.814717086225,32995.00888109761,148082.023533206,21455.435481072025,0.0,2145543.5481072026,0.0,268285.6854262847,120203.66189307868,3706.3964448,0.0,0.0,1.0,-2.1455435481072027,-2145543.5481072026
34,5993.850914921739,1.98,4005.313927513044,151994.4041148936,108649.10494879777,7909.894347552579,32997.27884153994,149556.27813789027,34739.48286307689,6649.482279472973,5468792.97014958,0.0,307847.2717382175,158290.99360032723,3672.8028288,0.0,0.0,1.0,-5.468792970149581,-5468792.97014958
35,5661.339816208695,1.95,3999.630358956522,151778.7229893617,109305.83774373586,7929.533467364118,32767.710565039084,150003.08177613906,30723.920029926765,2748.737383708035,3897013.2181050866,0.0,292657.4103968069,142654.32862066783,3659.7832992000003,0.0,0.0,1.0,-3.897013218105087,-3897013.218105087
36,5321.492756452174,1.88,3885.045213913044,147430.42441489364,114300.00672391738,8524.156211579264,32083.372775819946,154907.5357113166,16279.05085411244,0.0,1627905.085411244,0.0,257389.6500138521,102482.11430253554,3961.3674240000005,0.0,0.0,1.0,-1.627905085411244,-1627905.085411244
37,5397.81496653913,1.93,4066.5342816,154317.60559361702,116709.7919183677,8237.11335634511,32138.75473695297,157085.6600116658,8999.396881320477,0.0,899939.6881320477,0.0,249658.43816519674,92572.77815353093,4411.400313599999,0.0,0.0,1.0,-0.8999396881320476,-899939.6881320477
38,5742.680998539129,1.84,4280.294109913043,162429.40364893616,116894.20438616359,8752.13665806451,31710.193294999768,157356.53433922786,9140.149276995407,0.0,914014.9276995407,0.0,266581.84776072385,109225.31342149599,4893.9744672,0.0,0.0,1.0,-0.9140149276995406,-914014.9276995406
39,6356.361355826087,1.95,4612.9099968,175051.573706383,110322.89665027641,9054.746042873534,31879.889942467347,151257.5326356173,7046.124357737007,0.0,704612.4357737008,0.0,252666.95819786482,101409.42556224752,5438.8170144,0.0,0.0,1.0,-0.7046124357737007,-704612.4357737007
40,7182.268373426087,2.11,4849.731795756522,184038.53174893616,108176.90193784745,9864.239537116413,31227.34317938806,149268.48465435192,8874.780586726629,0.0,887478.0586726629,0.0,271783.7842877981,122515.2996334462,5710.0546944,0.0,0.0,1.0,-0.8874780586726629,-887478.0586726629
41,8042.591272069565,2.16,5128.3175328,194610.3555468085,104422.57659378197,10529.749504988575,31504.85887353122,146457.18497230177,6741.1288244445805,0.0,674112.8824444582,0.0,248687.03109582505,102229.8461235233,5542.6254911999995,0.0,0.0,1.0,-0.6741128824444581,-674112.8824444581
42,8456.899230469566,2.18,4912.303798956522,186413.0258617021,107996.14741250093,10636.545500075908,30752.21296938665,149384.9058819635,4911.980470479409,0.0,491198.04704794096,0.0,241845.84513918724,92460.93925722374,4941.2988576,0.0,0.0,1.0,-0.4911980470479409,-491198.0470479409
43,8485.894289113043,2.17,4585.2470496,174001.81499787234,108368.1616263384,10773.160558117665,31590.321507513345,150731.6436919694,7782.437669492489,0.0,778243.766949249,0.0,243031.68515206288,92300.04146009349,4689.523220869565,0.0,0.0,1.0,-0.7782437669492489,-778243.7669492488
44,8590.170460382607,2.11,4483.049339269565,170123.59711914894,102923.50995295042,10848.061603908141,32262.107988332133,146033.67954519068,15811.020057913562,0.0,1581102.0057913563,0.0,254923.67116354554,108889.99161835486,4045.7424671999997,0.0,0.0,1.0,-1.581102005791356,-1581102.005791356
45,8152.863588313044,2.01,4147.739568,157399.1990319149,104473.43194198544,10923.442250445485,32514.580538018447,147911.4547304494,28726.697669920366,1853.0466448353777,3428583.76044265,0.0,279482.70201845607,131571.24728800668,3870.008728904348,0.0,0.0,1.0,-3.4285837604426503,-3428583.7604426504
46,7875.132749217391,2.06,3908.6457984000003,148326.02382127658,104133.89710660212,11090.618849065764,32307.283140690088,147531.79909635798,25007.57790430052,0.0,2500757.790430052,0.0,252816.80290537444,105285.00380901646,3281.3454239999996,0.0,0.0,1.0,-2.500757790430052,-2500757.790430052
47,7247.832374817392,1.93,3707.1028249043484,140677.8332638298,101779.74723093813,11212.704877708187,34387.941797698426,147380.39390634475,32124.695945824245,0.0,3212469.594582425,0.0,252882.6829060886,105502.28899974385,2841.0467903999997,0.0,0.0,1.0,-3.2124695945824246,-3212469.5945824245
48,6381.776340313043,1.98,3424.9733542956524,129971.5312,99174.28621582552,11568.319282368751,35193.49844685015,145936.10394504442,44621.52954192093,11221.901145486547,7828723.297838056,0.0,287600.151518364,141664.04757331955,2566.8722016,0.0,0.0,1.0,-7.828723297838056,-7828723.2978380555
49,5523.67518761739,1.9,2948.9682227478256,111907.99919361701,99338.40944907123,11291.319964265569,34924.236809625756,145553.96622296254,46498.533605207325,6192.227787955218,6507521.696907299,0.0,269981.77250352496,124427.80628056244,2536.1126784,0.0,0.0,1.0,-6.507521696907299,-6507521.696907299
50,5110.819643269564,1.96,2969.6172254608696,112691.5914212766,97313.17091924296,11329.20102259438,35295.99925486828,143938.37119670562,48144.38146088326,8063.498915811607,7233487.820831809,0.0,272941.20547683694,129002.83428013133,2131.5661920000002,0.0,0.0,1.0,-7.233487820831808,-7233487.820831808
51,4272.768609808695,1.89,2641.099331895652,100224.9327829787,94055.30850885547,11043.135413804714,35184.48269391482,140282.926616575,55164.6231940657,14651.579291939619,9911936.106988456,0.0,281570.19380582887,141287.26718925388,1963.610208,0.0,0.0,1.0,-9.911936106988456,-9911936.106988456
