volumen_discreto,volumen,hidrologia,tiempo,aportes,vertimiento,turbinado
15.0,45000.0,2.0,0,1394.34273,0.0,4023.315692307692
14.0,42371.0270376923,1.83,1,1488.5758300000002,0.0,3848.388923076923
13.0,40011.21394461539,1.83,2,1327.8568100000002,0.0,4548.096
12.0,36790.97475461539,1.68,3,1343.06621,0.0,5597.656615384616
10.0,32536.384349230775,1.69,4,1472.81422,0.0,4723.022769230769
9.0,29286.175800000005,1.6,5,1632.30787,0.0,4198.242461538462
8.0,26720.241208461543,1.68,6,1712.4938300000001,0.0,5597.656615384616
7.0,22835.078423076928,1.63,7,1753.57816,0.0,3848.388923076923
6.0,20740.267660000005,1.55,8,1853.79089,0.0,4198.242461538462
6.0,18395.816088461543,1.68,9,1510.5432200000002,0.0,3673.4621538461533
5.0,16232.897154615388,1.71,10,1654.09119,0.0,3498.5353846153844
4.0,14388.452960000002,1.74,11,1708.74407,0.0,3498.5353846153844
4.0,12598.661645384616,1.81,12,2027.48419,0.0,3673.4621538461533
3.0,10952.683681538463,1.79,13,2035.57799,0.0,2623.9015384615386
3.0,10364.360133076925,1.78,14,2875.89763,0.0,2798.828307692308
3.0,10441.429455384618,1.84,15,3911.05227,0.0,2973.755076923077
3.0,11378.726648461541,1.98,16,4443.95996,0.0,3323.6086153846154
4.0,12499.077993076926,1.98,17,4130.67356,0.0,3498.5353846153844
4.0,13131.216168461542,1.92,18,3886.75509,0.0,3498.5353846153844
4.0,13519.435873846158,1.94,19,4213.50486,0.0,3498.5353846153844
4.0,14234.40534923077,2.08,20,4351.77792,0.0,3848.388923076923
4.0,14737.794346153847,2.22,21,4726.68029,0.0,3848.388923076923
5.0,15616.085713076924,2.21,22,4689.88216,0.0,3673.4621538461533
5.0,16632.505719230772,2.17,23,4268.44174,0.0,3673.4621538461533
5.0,17227.485305384616,2.18,24,4837.45336,0.0,3848.388923076923
6.0,18216.549742307692,2.08,25,4994.52255,0.0,4897.949538461538
6.0,18313.122753846154,2.12,26,5809.76139,0.0,4548.096
6.0,19574.788143846155,2.41,27,5706.577249999999,0.0,4373.169230769231
6.0,20908.196163076922,2.43,28,5462.63775,0.0,4198.242461538462
7.0,22172.591451538457,2.2,29,5526.72025,0.0,4373.169230769231
7.0,23326.142470769224,2.13,30,5764.73272,0.0,4373.169230769231
8.0,24717.705959999996,2.22,31,5731.93678,0.0,4198.242461538462
8.0,26251.400278461533,2.07,32,5525.04259,0.0,4548.096
9.0,27228.346868461533,2.12,33,4901.60423,0.0,3323.6086153846154
9.0,28806.342483076918,2.05,34,5025.84593,0.0,4198.242461538462
9.0,29633.945951538455,2.03,35,5398.2134,0.0,3848.388923076923
10.0,31183.770428461532,1.96,36,5976.197089999999,0.0,2798.828307692308
11.0,34361.13921076922,1.86,37,6326.75495,0.0,2448.974769230769
12.0,38238.91939153845,1.76,38,5824.13985,0.0,2973.755076923077
13.0,41089.30416461537,1.77,39,5698.6938199999995,0.0,2798.828307692308
14.0,43989.16967692306,1.86,40,5638.02449,0.0,3323.6086153846154
15.0,46303.58555153845,2.07,41,4999.87634,0.0,2798.828307692308
16.0,48504.63358384614,2.12,42,4168.7444,0.0,2448.974769230769
16.0,50224.40321461536,2.07,43,3509.86477,0.0,2448.974769230769
17.0,51285.2932153846,2.08,44,3090.6647400000006,0.0,2973.755076923077
17.0,51402.20287846151,2.09,45,2862.145,0.0,3498.5353846153844
16.0,50765.812493846126,2.0,46,2627.35638,0.0,2798.828307692308
16.0,50594.34056615381,1.86,47,2308.76878,0.0,2798.828307692308
16.0,50104.28103846151,1.84,48,2285.62861,0.0,3848.388923076923
16.0,48541.52072538458,1.78,49,2205.28487,0.0,3323.6086153846154
15.0,47423.196979999964,1.79,50,2132.59843,0.0,3498.5353846153844
15.0,46057.26002538458,1.73,51,1830.19317,0.0,3848.388923076923
14.0,44039.06427230766,1.78,52,1435.88461,0.0,3673.4621538461533
13.0,41801.48672846151,1.93,53,1501.07679,0.0,3673.4621538461533
13.0,39629.10136461536,1.91,54,1336.4712599999998,0.0,4373.169230769231
12.0,36592.40339384613,1.95,55,1374.34752,0.0,5422.729846153846
10.0,32544.021067692283,2.0,56,1488.0394000000001,0.0,4548.096
9.0,29483.964467692284,1.93,57,1632.64445,0.0,4198.242461538462
8.0,26918.36645615382,1.9,58,1721.6762699999997,0.0,4897.949538461538
7.0,23742.09318769228,1.85,59,1753.30994,0.0,3498.5353846153844
7.0,21996.867743076895,1.89,60,1866.08673,0.0,4023.315692307692
6.0,19839.6387807692,1.82,61,1510.74833,0.0,3848.388923076923
5.0,17501.998187692276,1.79,62,1670.75211,0.0,3498.5353846153844
5.0,15674.21491307689,1.81,63,1753.16794,0.0,3323.6086153846154
4.0,14103.774237692274,1.77,64,2070.37766,0.0,2973.755076923077
4.0,13200.396820769198,1.81,65,2092.66585,0.0,3498.5353846153844
3.0,11794.527286153812,1.84,66,2928.93596,0.0,3323.6086153846154
3.0,11399.854630769198,1.83,67,3951.6001699999997,0.0,3323.6086153846154
4.0,12027.846185384582,1.86,68,4487.25312,0.0,3498.5353846153844
4.0,13016.563920769195,1.89,69,4231.83819,0.0,3498.5353846153844
4.0,13749.866726153812,1.97,70,4186.19946,0.0,3848.388923076923
4.0,14087.677263076888,1.94,71,4498.56551,0.0,3498.5353846153844
5.0,15087.707388461504,1.9,72,4499.63837,0.0,3848.388923076923
5.0,15738.956835384579,1.91,73,4850.30141,0.0,4198.242461538462
5.0,16391.015783846116,1.87,74,4779.92373,0.0,4198.242461538462
5.0,16972.697052307652,1.91,75,4292.37604,0.0,4023.315692307692
5.0,17241.75739999996,1.78,76,4852.75743,0.0,3848.388923076923
6.0,18246.125906923036,1.96,77,5027.14493,0.0,4198.242461538462
6.0,19075.028375384572,1.81,78,5820.49528,0.0,5072.876307692308
6.0,19822.647347692266,2.07,79,5692.03576,0.0,4723.022769230769
6.0,20791.660338461497,2.03,80,5384.47655,0.0,4373.169230769231
7.0,21802.967657692265,2.03,81,5461.06001,0.0,4548.096
7.0,22715.93166769227,1.98,82,5733.36726,0.0,4548.096
7.0,23901.202927692273,2.05,83,5692.929809999999,0.0,4373.169230769231
8.0,25220.963506923035,2.09,84,5493.53514,0.0,4548.096
8.0,26166.402646923038,1.97,85,4876.06589,0.0,4897.949538461538
8.0,26144.5189984615,1.85,86,5082.46573,0.0,3673.4621538461533
9.0,27553.522574615345,1.86,87,5420.34382,0.0,4373.169230769231
9.0,28600.69716384611,1.68,88,5991.08569,0.0,4023.315692307692
10.0,30568.467161538418,1.81,89,6338.58799,0.0,3148.681846153847
11.0,33758.37330538457,1.9,90,5874.72743,0.0,2798.828307692308
12.0,36834.27242769227,1.92,91,5823.75068,0.0,3148.681846153847
13.0,39509.341261538415,1.82,92,5737.285310000001,0.0,3148.681846153847
14.0,42097.944725384565,1.72,93,5048.60218,0.0,3498.5353846153844
14.0,43648.011520769185,1.72,94,4206.68377,0.0,2973.755076923077
14.0,44880.9402138461,1.71,95,3580.40548,0.0,2623.9015384615386
15.0,45837.44415538456,1.77,96,3159.15965,0.0,2798.828307692308
15.0,46197.77549769226,1.75,97,2883.03427,0.0,3148.681846153847
15.0,45932.1279215384,1.76,98,2632.14745,0.0,3848.388923076923
14.0,44715.886448461475,1.76,99,2316.22097,0.0,3148.681846153847
14.0,43883.425572307635,1.79,100,2308.57419,0.0,3148.681846153847
14.0,43043.317916153785,1.88,101,2235.80886,0.0,4198.242461538462
13.0,41080.884314615316,1.92,102,2141.9702,0.0,3673.4621538461533
