volumen,hidrologia,tiempo,turbinado,vertimiento,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,demanda,demanda_residual,ingreso_exportacion,costo_termico,aportes,volumen_siguiente,hidrologia_siguiente,tiempo_siguiente,action,reward
5500.0,1,0,4275.0,0,258429.24728145744,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,219003.93976642555,104453.16775437945,1924700.994088475,0.0,441.1108799999999,1666.11088,3,1,1.0,1924700.994088475
1666.11088,3,1,1666.11088,0,100718.54517095828,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,216405.3397382087,98133.98722929365,32306.97427080795,0.0,946.0281600000001,946.0281600000001,3,2,1.0,32306.97427080795
946.0281600000001,3,2,946.0281600000001,0,57188.61878265783,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,63939.12666758379,0.0,237308.2458475353,121127.74545024162,0.0,6393912.666758379,876.5064,876.5064,2,3,1.0,-6393912.666758379
876.5064,2,3,876.5064,0,52985.93899166785,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,84000.0,16190.096472232748,269029.6814861007,153176.0354639006,0.0,13257028.941669825,525.5712,525.5712,1,4,1.0,-13257028.941669825
525.5712,1,4,525.5712,0,31771.454879254346,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,84000.0,12432.55389753406,238589.2458614449,128204.00877678841,0.0,12129766.169260219,396.7488,396.7488,3,5,1.0,-12129766.169260219
396.7488,3,5,396.7488,0,23983.97514475357,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,84000.0,4988.266586345198,226016.0692543313,112972.24173109877,0.0,9896479.97590356,1175.85216,1175.85216,2,6,1.0,-9896479.97590356
1175.85216,2,6,1175.85216,0,71081.77511650897,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,84000.0,2043.2479476916778,267564.60499960475,157125.02306420065,0.0,9012974.384307504,854.2497599999999,854.2497599999999,2,7,1.0,-9012974.384307504
854.2497599999999,2,7,854.2497599999999,0,51640.496483547526,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,46974.104851600365,0.0,210462.1455560265,98614.60133514789,0.0,4697410.485160036,594.76032,594.76032,0,8,1.0,-4697410.485160036
594.76032,0,8,594.76032,0,35954.02615449796,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,75626.58761174348,0.0,221466.9044990514,111580.61376624144,0.0,7562658.761174348,251.80848,251.80848,2,9,1.0,-7562658.761174348
251.80848,2,9,251.80848,0,15222.146419997178,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,79702.00336847415,0.0,208204.78670798615,94924.14978847133,0.0,7970200.336847415,837.7992,837.7992,2,10,1.0,-7970200.336847415
837.7992,2,10,837.7992,0,50646.038977545555,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,39796.23968328937,0.0,204953.84549621498,90442.27866083493,0.0,3979623.968328937,546.9206399999999,546.9206399999999,0,11,1.0,-3979623.968328937
546.9206399999999,0,11,546.9206399999999,0,33062.05598079367,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,56994.80651007352,0.0,207340.38081624726,90056.86249086719,0.0,5699480.651007351,376.42752,376.42752,0,12,1.0,-5699480.651007351
376.42752,0,12,376.42752,0,22755.527637339364,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,70836.94745624292,0.0,214076.93383057287,93592.47509358228,0.0,7083694.745624293,238.2912,238.2912,0,13,0.7890122,-7083694.745624293
238.2912,0,13,0.0,0,0.0,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,57141.9056546542,0.0,194013.67478918622,57141.9056546542,0.0,5714190.56546542,262.66464,500.95584,0,14,0.0,-5714190.56546542
500.95584,0,14,500.95584,0,30283.424714023447,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,34161.39320140582,0.0,205518.9925611754,64444.817915429274,0.0,3416139.3201405825,319.00175999999993,319.00175999999993,0,15,1.0,-3416139.3201405825
319.00175999999993,0,15,0.0,0,0.0,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,71009.69332490448,0.0,207656.86317262432,71009.69332490448,0.0,7100969.332490448,282.2601600000001,601.26192,0,16,0.0,-7100969.332490448
601.26192,0,16,0.0,0,0.0,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,78528.84744090849,0.0,209793.6573134738,78528.84744090849,0.0,7852884.744090849,369.56304,970.82496,1,17,0.0,-7852884.744090849
970.82496,1,17,0.0,0,0.0,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,84000.0,842.0858541108755,211257.65732937062,84842.08585411088,0.0,8652625.756233262,400.67999999999995,1371.50496,0,18,0.0,-8652625.756233262
1371.50496,0,18,1371.50496,0,82909.23846914279,98975.04493142634,6723.902763309068,25968.47947897232,131667.42717370772,1683.350564367749,0.0,216260.01620721826,84592.58903351054,0.0,168335.0564367749,213.73632000000003,213.73632000000003,0,19,1.0,-168335.0564367749
213.73632000000003,0,19,213.73632000000003,0,12920.635390481573,98037.6221467726,6354.5806597072415,34253.7348904101,138645.93769688995,73149.11968225164,0.0,224715.69276962316,86069.75507273321,0.0,7314911.968225163,335.664,335.664,1,20,0.15787625,-7314911.968225163
335.664,1,20,335.664,0,20291.320434966816,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,76005.21581608875,0.0,234768.85170231416,96296.53625105557,0.0,7600521.581608875,1093.23648,1093.23648,0,21,1.0,-7600521.581608875
1093.23648,0,21,1093.23648,0,66087.55102386669,98814.04396127017,5886.59032116912,34915.35802257658,139615.99230501588,29080.378961830313,0.0,234783.9222907129,95167.929985697,0.0,2908037.896183031,421.51535999999993,421.51535999999993,0,22,1.0,-2908037.896183031
421.51535999999993,0,22,421.51535999999993,0,25481.14554441463,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,66017.29454346916,0.0,230437.13400822022,91498.44008788379,0.0,6601729.454346917,730.35648,730.35648,0,23,0.40599775,-6601729.454346917
730.35648,0,23,730.35648,0,44150.98839147014,98854.63909287953,5691.159953817383,35550.51846960261,140096.31751629955,47486.97517335912,0.0,231734.2810811288,91637.96356482926,0.0,4748697.517335912,391.91040000000004,391.91040000000004,0,24,1.0,-4748697.517335912
391.91040000000004,0,24,391.91040000000004,0,23691.487642988282,104690.69883044781,5569.164730104099,36640.267961321035,146900.13152187294,71346.52673294822,0.0,241938.14589780945,95038.0143759365,0.0,7134652.673294822,196.1064,196.1064,0,25,1.0,-7134652.673294822
196.1064,0,25,196.1064,0,11854.884055924307,104382.0148129037,5429.313546577172,36310.39745348857,146121.72581296944,84000.0,32628.112854214094,274604.72272310784,128482.9969101384,0.0,18188433.856264226,755.63712,755.63712,0,26,1.0,-18188433.856264226
755.63712,0,26,755.63712,0,45679.23558819376,106816.05281652318,5738.184090648205,34600.92987232152,147155.16677949292,68684.74374274362,0.0,261519.1461104303,114363.97933093738,0.0,6868474.374274362,1284.0206400000002,1284.0206400000002,1,27,1.0,-6868474.374274362
1284.0206400000002,1,27,1284.0206400000002,0,77620.69882784919,105570.85574992995,5961.318488980013,35113.18863366362,146645.3628725736,33447.76083927551,0.0,257713.8225396983,111068.4596671247,0.0,3344776.083927551,1601.4499199999998,1601.4499199999998,1,28,1.0,-3344776.083927551
1601.4499199999998,1,28,1601.4499199999998,0,96809.70699053806,108730.43283364398,5763.893484376082,34304.426268943746,148798.75258696382,6228.9099572104315,0.0,251837.3695347123,103038.6169477485,0.0,622890.9957210431,1654.6118399999998,1654.6118399999998,4,29,1.0,-622890.9957210431
1654.6118399999998,4,29,1654.6118399999998,0,100023.41341618415,105710.5229317552,6405.6144499270995,34658.5686623392,146774.7060440215,11606.79720464426,0.0,258404.9166648499,111630.21062082841,0.0,1160679.7204644259,3746.2823999999996,3746.2823999999996,4,30,1.0,-1160679.7204644259
3746.2823999999996,4,30,3746.2823999999996,0,226467.58847620393,106832.62021303737,6755.84926381601,35019.157293632656,148607.62677048604,0.0,0.0,258216.5343098632,109608.90753937716,1460733.5117103346,0.0,4009.46112,4009.46112,3,31,1.0,1460733.5117103346
4009.46112,3,31,4009.46112,0,242377.08052534956,112963.317808136,6912.495966710932,34636.09143758985,154511.90521243677,0.0,0.0,261112.24022365818,106600.33501122141,1697209.318926602,0.0,3469.7980799999996,3469.7980799999996,3,32,1.0,1697209.318926602
3469.7980799999996,3,32,3469.7980799999996,0,209753.75579720378,111681.42711469864,6849.887804579319,34441.76708218248,152973.08200146045,0.0,0.0,269550.69325646403,116577.61125500358,1164701.8067775024,0.0,3637.08576,3637.08576,3,33,1.0,1164701.8067775024
3637.08576,3,33,3637.08576,0,219866.5111707386,107779.19993502216,7307.814717086226,32995.00888109761,148082.023533206,0.0,0.0,223571.4045219039,75489.3809886979,1804714.1272755088,0.0,2804.03424,2804.03424,4,34,1.0,1804714.1272755088
2804.03424,4,34,2804.03424,0,169507.47555430027,108649.10494879776,7909.894347552579,32997.27884153994,149556.27813789027,0.0,0.0,256539.39311518124,106983.11497729097,781554.5072126163,0.0,5369.505120000001,5369.505120000001,4,35,1.0,781554.5072126163
5369.505120000001,4,35,4275.0,0,258429.24728145744,109305.83774373586,7929.533467364118,32767.710565039084,150003.08177613906,0.0,0.0,243881.17533067244,93878.09355453338,2056889.4215865508,0.0,5468.117760000001,6562.622880000002,4,36,1.0,2056889.4215865508
6562.622880000002,4,36,4275.0,0,258429.24728145744,114300.0067239174,8524.156211579264,32083.372775819946,154907.5357113166,0.0,0.0,214491.37501154345,59583.83930022686,2485567.5997653822,0.0,4582.327679999999,6869.950560000001,3,37,1.0,2485567.5997653822
6869.950560000001,3,37,4275.0,0,258429.24728145744,116709.79191836771,8237.11335634511,32138.754736952975,157085.6600116658,0.0,0.0,208048.6984709973,50963.038459331496,2593327.6102765743,0.0,3757.68288,6352.633440000001,3,38,1.0,2593327.6102765743
6352.633440000001,3,38,4275.0,0,258429.24728145744,116894.20438616359,8752.13665806451,31710.193294999768,157356.53433922786,0.0,0.0,222151.5398006032,64795.005461375345,2420428.0227510263,0.0,3189.9268800000004,5267.560320000002,1,39,1.0,2420428.0227510263
5267.560320000002,1,39,4275.0,0,258429.24728145744,110322.89665027641,9054.746042873534,31879.889942467347,151257.5326356173,0.0,0.0,210555.79849822068,59298.26586260338,2489137.267735676,0.0,1404.6782400000002,2397.2385600000025,0,40,1.0,2489137.267735676
2397.2385600000025,0,40,2397.2385600000025,0,144916.1535941253,108176.90193784745,9864.239537116413,31227.34317938806,149268.48465435192,0.0,0.0,226486.4869064984,77218.00225214649,846226.8917747352,0.0,1032.78672,1032.78672,0,41,1.0,846226.8917747352
1032.78672,0,41,1032.78672,0,62433.285298686635,104422.57659378197,10529.749504988575,31504.85887353122,146457.18497230177,0.0,0.0,207239.19257985425,60782.007607552485,20640.971139176872,0.0,927.24912,927.24912,0,42,1.0,20640.971139176872
927.24912,0,42,927.24912,0,56053.4016664313,107996.14741250093,10636.545500075908,30752.21296938665,149384.9058819635,0.0,0.0,201538.20428265605,52153.298400692554,48751.29082173435,0.0,1082.10816,1082.10816,0,43,1.0,48751.29082173435
1082.10816,0,43,1082.10816,0,65414.829769806536,108368.16162633839,10773.160558117666,31590.321507513345,150731.6436919694,0.0,0.0,202526.40429338574,51794.76060141635,170250.86460487737,0.0,794.7072000000001,794.7072000000001,0,44,0.77348363,170250.86460487737
794.7072000000001,0,44,794.7072000000001,0,48041.07216494846,102923.50995295042,10848.06160390814,32262.107988332133,146033.67954519068,18361.640926148815,0.0,212436.39263628796,66402.71309109728,0.0,1836164.0926148815,514.44288,514.44288,0,45,1.0,-1836164.0926148815
514.44288,0,45,514.44288,0,31098.73362519418,104473.43194198546,10923.442250445485,32514.58053801845,147911.4547304494,53892.06332640314,0.0,232902.2516820467,84990.79695159732,0.0,5389206.3326403145,475.58448,475.58448,0,46,1.0,-5389206.3326403145
475.58448,0,46,475.58448,0,28749.69337664172,104133.89710660212,11090.618849065764,32307.28314069009,147531.79909635798,34399.17661481234,0.0,210680.66908781204,63148.86999145406,0.0,3439917.6614812342,517.49712,517.49712,1,47,0.41028672,-3439917.6614812342
517.49712,1,47,517.49712,0,31283.36636068352,101779.74723093814,11212.704877708185,34387.941797698426,147380.39390634475,32071.808821378912,0.0,210735.56908840718,63355.175182062434,0.0,3207180.8821378914,712.24272,712.24272,1,48,1.0,-3207180.8821378914
712.24272,1,48,712.24272,0,43055.98830673634,99174.28621582552,11568.319282368753,35193.49844685015,145936.10394504442,50674.70068018921,0.0,239666.79293196998,93730.68898692555,0.0,5067470.068018922,616.41216,616.41216,0,49,1.0,-5067470.068018922
616.41216,0,49,0.0,0,0.0,99338.40944907123,11291.319964265569,34924.236809625756,145553.96622296254,79430.84419664161,0.0,224984.81041960415,79430.84419664161,0.0,7943084.419664161,245.12544,861.5376,0,50,0.0,-7943084.419664161
861.5376,0,50,861.5376,0,52081.055783081494,97313.17091924294,11329.20102259438,35295.99925486828,143938.37119670562,31431.577584243685,0.0,227451.0045640308,83512.63336732518,0.0,3143157.7584243687,278.3592,278.3592,0,51,1.0,-3143157.7584243687
